ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	Data
75	OHNK31	WRC129-001	20	36.4408513	-81.4916861	Claybank Creek	5.00E-05	0.00015	0.99975	0-0-100
76	OHNK32	WRC131-001	20	36.242154	-81.686784	Doe Fork	0	0	1	0-0-100
77	OHNK33	WRC133-001	20	36.5054486	-81.6451105	East Fork Roaring Fork	0.04025	0.1791	0.78055	4-17.9-78.1
78	OHNK34	WRC135-001	20	36.4266562	-81.4539442	Ezra Fork	0.0141	0.0028	0.9831	1.4-0.3-98.3
79	OHNK35	WRC136-001	20	36.2409489	-81.538227	Gap Creek	0.00015	0	0.99985	0-0-100
81	OHNK37	WRC139-001	19	36.371606	-81.712475	Hoskins Fork	0.038157895	0.066684211	0.894947368	3.8-6.7-89.5
82	OHNK38	WRC140-001	20	36.5535323	-81.513874	Jerd Branch	2.00E-04	0.99975	5.00E-05	0-100-0
83	OHNK39	WRC141-001	20	36.2687846	-81.7183243	Jones Branch	0	0	1	0-0-100
84	OHNK4	WRC122-001	20	36.1726689	-81.6925992	(C) Winkler Creek (above old Impoundment)	0	0	1	0-0-100
85	OHNK40	WRC142-001	20	36.5283912	-81.6843392	Kilby Creek	0.00065	5.00E-05	0.9993	0.1-0-99.9
87	OHNK42	WRC145-001	20	36.424392	-81.197458	Meadow Fork	0	0.004	0.996	0-0.4-99.6
89	OHNK44	WRC148-001	20	36.2362881	-81.6642773	Norris Branch	0.00115	5.00E-05	0.9988	0.1-0-99.9
90	OHNK45	WRC149-001	19	36.2825932	-81.6830482	Norris Fork	0.000157895	0.082631579	0.917157895	0-8.3-91.7
93	OHNK48	WRC155-001	20	36.3041046	-81.650166	Rittle Fork	0	0	1	0-0-100
94	OHNK49	WRC157-001	20	36.5053588	-81.5980255	Roaring Branch	0.00015	0	0.99985	0-0-100
95	OHNK5	WRC123-001	20	36.1752544	-81.6899697	(C) Winkler Creek (between old & new impoundments)	0.00085	0.0068	0.99235	0.1-0.7-99.2
96	OHNK50	WRC158-001	20	36.5147638	-81.653585	Roaring Fork	0.3729	0.60635	0.02065	37.3-60.6-2.1
98	OHNK52	WRC160-001	20	36.455572	-81.697383	Roundabout Creek	0.1202	0.2853	0.59435	12-28.5-59.4
99	OHNK53	WRC162-001	20	36.3749868	-81.5996959	Skin Camp Branch	0	0	1	0-0-100
100	OHNK54	WRC163-001	20	36.354175	-81.676697	Snyder Branch	1.00E-04	0.12245	0.87745	0-12.2-87.7
102	OHNK56	WRC166-001	19	36.146241	-81.647147	UT Aho Branch	0	0.016473684	0.983526316	0-1.6-98.4
103	OHNK57	WRC169-001	20	36.547918	-81.6603131	UT Big Laurel Creek ( Below Flatwood )	0.03195	0.0708	0.89725	3.2-7.1-89.7
104	OHNK58	WRC170-001	20	36.5547494	-81.6693876	UT Big Laurel Creek ( Denny Hollow )	0.03645	0.1437	0.81985	3.6-14.4-82
105	OHNK59	WRC171-001	20	36.395783	-81.531642	UT Buffalo Creek (@ Buck Mtn.)	3.00E-04	5.00E-05	0.99965	0-0-100
106	OHNK6	WRC124-001	20	36.3573423	-81.6159101	Bald Fork	0	0	1	0-0-100
110	OHNK63	WRC176-001	20	36.139162	-81.6672204	UT Middle Fork New River (@substation)	0	0	1	0-0-100
111	OHNK64	WRC178-001	20	36.4802743	-81.4765576	UT North Fork New River	0.1301	0.12915	0.7408	13-12.9-74.1
112	OHNK65	WRC179-001	20	36.42683	-81.613394	UT North Fork New River (@ Creston)	7.00E-04	0.19005	0.8092	0.1-19-80.9
113	OHNK66	WRC183-001	20	36.332893	-81.4599757	UT South Fork New River	1.00E-04	0.1154	0.8845	0-11.5-88.5
115	OHNK68	WRC187-001	19	36.4039791	-81.2784303	Wolf Branch	0.000105263	0.061263158	0.938631579	0-6.1-93.9
116	OHNK69	D701-001	22	36.3169623	-81.7013383	UT Meat Camp Creek	4.55E-05	0.000954545	0.999	0-0.1-99.9
117	OHNK7	WRC126-001	20	36.5626706	-81.6665957	Big Laurel Creek	0.09895	0.00815	0.8929	9.9-0.8-89.3
119	OHNK71	D703-001	24	36.1541123	-81.6276005	Aho Branch	0	0	1	0-0-100
120	OHNK8	WRC130-001	20	36.2638257	-81.5339435	Cranberry Creek	0	0	1	0-0-100
121	OHNK9	WRC132-001	20	36.2838079	-81.4351735	East Fork Pine Swamp Creek	0	0	1	0-0-100
122	PFBNC124	WRC336-001	20	36.3592958	-81.719256	UT Hoskins Fork	0.001	0.0823	0.9166	0.1-8.2-91.7
123	PFBNC76	WRC332-001	20	36.3083612	-81.6702018	Little Creek	5.00E-05	6.00E-04	0.9994	0-0.1-99.9
124	SnakeCreek	VA12-001	20	36.678723	-80.657286	Snake Creek	0.01065	0	0.98935	1.1-0-98.9
125	StandrockBranch	VA13-001	20	37.196585	-80.893499	Standrock Branch	0.00955	0.04345	0.947	1-4.3-94.7
126	ToryCreek	VA14-001	18	36.744527	-80.493856	Tory Creek	0	0	1	0-0-100
128	GA13	GA13-001	30	34.769548	-84.033267	Bryant Creek	0	0	1	0-0-100
129	GA14	GA14-001	40	34.767345	-83.993942	Logan Creek	0	0	1	0-0-100
130	GCS1	LR_2013_121	29	35.591956	-83.516187	Grouse Creek Site 1	0	0	1	0-0-100
131	GPS1	FC_2014_001	40	35.594153	-83.561233	Goshen Prong Site 1	0	0	1	0-0-100
132	GPS4	FC_2014_096	50	35.5834	-83.544	Goshen Prong Site 4	0	0	1	0-0-100
133	GRSML1	GRSML1-001	48	35.591	-83.5744	Fish Camp Run	0	0	1	0-0-100
136	GRSML22	GS35-001	30	35.62383817	-83.64181971	Marks Creek	0	0	1	0-0-100
137	GRSML3	GRSML3-001	35	35.5879	-83.6316	Indian Flats	0.102342857	0.169114286	0.7286	10.2-16.9-72.9
138	GRSML4	GRSML4-001	49	35.6509	-83.6281	Mannis Branch	4.08E-05	0	0.999959184	0-0-100
139	GRSML5	GRSML5-001	24	35.5899	-83.5662	Silers's Creek	0	0	1	0-0-100
140	GRSML6	GRSML6-1001	76	35.5899	-83.5662	Silers's Creek (4,9,10)	0	0	1	0-0-100
142	GRSMP1	GRSMP1-001	47	35.6521	-83.1689	Lost Bottoms	4.26E-05	0	0.999957447	0-0-100
143	GRSMP10	GRSMP10-001	21	35.62527	-83.47016	Road Prong	0	0	1	0-0-100
144	GRSMP11	GRSMP11-001	34	35.75969	-83.19495	Tom?s Creek	0	0	1	0-0-100
145	GRSMP12	GRSMP12-001	32	35.7389	-83.2783	Indian Camp Creek	0	0	1	0-0-100
146	GRSMP13	GRSMP13-001	25	35.67001	-83.09951	Little Cataloochee Creek	0	0	1	0-0-100
147	GRSMP14	GRSMP14-001	28	35.6767	-83.08874	Correll Branch	0	0	1	0-0-100
148	GRSMP16	GRSMP16-001	40	35.7608	-83.19703	Toms Creek	0	0	1	0-0-100
149	GRSMP17	GRSMP17-009	16	35.76479	-83.25353	Greenbrier Creek	0	0	1	0-0-100
150	GRSMP18	GRSMP18-009	16	35.73785	-83.27838	Indian Camp Creek	0	0	1	0-0-100
152	GRSMP2	GRSMP2-001	32	35.7671	-83.2023	Cosby Creek	0	0	1	0-0-100
153	GRSMP20	GS34-001	30	35.62745	-83.40842	Kephart Branch	0	0	1	0-0-100
157	GRSMP24	GS37-001	30	35.62274826	-83.42144591	Walker Camp Prong	0.017966667	0.438366667	0.5437	1.8-43.8-54.4
158	GRSMP25	GS38-001	28	35.7456837	-83.215988	Rock Creek	0	0	1	0-0-100
159	GRSMP26	GS39-001	30	35.69511594	-83.32153141	Buck Fork	0.0331	0	0.9669	3.3-0-96.7
160	GRSMP27	GS43-001	30	35.69182448	-83.31598851	Chapman Prong	0	0	1	0-0-100
162	GRSMP29	GS55-002	30	35.64431163	-83.0726446	Winding Stair	0	0	1	0-0-100
163	GRSMP3	GRSMP3-033	48	35.7671	-83.2023	Cosby Creek	0.000104167	2.08E-05	0.999854167	0-0-100
164	GRSMP30	GS56-002	30	35.59985518	-83.1308236	Hurricane Creek	6.67E-05	0.002366667	0.997533333	0-0.2-99.8
165	GRSMP31	GS57-002	30	35.6021498	-83.16291579	Bear Branch	0	0	1	0-0-100
166	GRSMP32	GS58-002	30	35.67181836	-83.13536468	Pretty Hollow	0	0	1	0-0-100
167	GRSMP33	GS59-002	30	35.60188	-83.16237872	Horse Creek	0	0	1	0-0-100
168	GRSMP34	GS60-002	30	35.61488345	-83.14599307	Messer Branch	3.33E-05	0	0.999966667	0-0-100
169	GRSMP35	GS61-002	29	35.61336491	-83.0939906	Sag Branch	0	0	1	0-0-100
170	GRSMP36	GS62-002	29	35.57193744	-83.12570343	Caldwell Fork	0	0	1	0-0-100
171	GRSMP37	GS63-002	30	35.67180283	-83.13877789	Onion Bed	0	0	1	0-0-100
172	GRSMP38	GS64-002	30	35.57635336	-83.12628358	Straight Creek	0	0	1	0-0-100
173	GRSMP39	GS65-002	30	35.59419869	-83.0987225	McKee Branch	0	6.67E-05	0.999933333	0-0-100
174	GRSMP4	GRSMP4-001	28	35.7643	-83.2526	Greenbrier Creek	0	0	1	0-0-100
175	GRSMP5	GRSMP5-035	27	35.7643	-83.2526	Greenbrier Creek	0	0	1	0-0-100
176	GRSMP6	GRSMP6-001	33	35.7389	-83.2783	Indian Camp Creek	6.06E-05	0	0.999939394	0-0-100
177	GRSMP8	GRSMP8-001	25	35.7671	-83.2023	Cosby Creek	0	0	1	0-0-100
178	GRSMP9	GRSMP9-001	34	35.7643	-83.2526	Greenbrier Creek	0	0	1	0-0-100
179	GRSMT1	GRSMT1-001	49	35.5563	-83.1677	Bunches Creek	0	0	1	0-0-100
180	GRSMT2	GRSMT2-001	50	35.5667	-83.18	Flatt Creek	0	0	1	0-0-100
181	GRSMT22	GS36-001	28	35.61986728	-83.23039471	Hyatt Creek	0	7.14E-05	0.999892857	0-0-100
182	GRSMT23	GS40-001	29	35.58476105	-83.42515628	RF Deep Creek	0	0	1	0-0-100
183	GRSMT24	GS41-001	30	35.58503691	-83.42667635	Sahlee Creek	0	0	1	0-0-100
184	GRSMT25	GS42-001	30	35.55528252	-83.47670642	Noland Creek	0	0	1	0-0-100
185	GRSMT26	GS44-001	31	35.49706343	-83.65659546	Cold Springs Branch	0	0	1	0-0-100
186	GRSMT27	GS45-001	30	35.51194438	-83.69720183	Haw Gap Branch	0	0	1	0-0-100
187	GRSMT28	GS46-001	29	35.54112558	-83.67636608	Desolation Branch	0	0	1	0-0-100
188	GRSMT29	GS47-001	30	35.54053482	-83.6708987	Defeat Branch	0	0	1	0-0-100
189	GRSMT3	GRSMT3-001	40	35.5341	-83.5446	Huggin's Creek	0.00115	0.160375	0.838425	0.1-16-83.8
190	GRSMT30	GS49-002	30	35.62001761	-83.33050789	Louie Camp Branch	0	0	1	0-0-100
191	GRSMT31	GS50-002	30	35.61226789	-83.26422737	Enloe Creek	0.100133333	0.000166667	0.899733333	10-0-90
192	GRSMT32	GS51-002	30	35.62431103	-83.32617226	Bearwallow Branch	0.012966667	0.000466667	0.986533333	1.3-0-98.7
193	GRSMT33	GS52-002	30	35.63332387	-83.32996679	Chasm Prong	0	0	1	0-0-100
194	GRSMT34	GS53-001	30	35.64340742	-83.25582982	R. Fork Raven Fork	0.009866667	3.00E-04	0.989833333	1-0-99
195	GRSMT35	GS54-002	30	35.64491771	-83.32894523	Gulf Prong	0	0	1	0-0-100
197	GRSMT5	GRSMT5-001	47	35.4858	-83.5926	Bear Creek	0.000510638	0.020297872	0.979191489	0.1-2-97.9
198	GRSMT6	GRSMT6-001	25	35.58628	-83.36516	Kanati Fork	0	0	1	0-0-100
199	GRSMT7	GRSMT7-001	22	35.59933	-83.39906	Aden Branch	0	0	1	0-0-100
200	L2S1	FC_2014_238	50	35.57905	-83.578	Lean-to Site 1	0	0	1	0-0-100
201	LRS1	LR_2013_001	30	35.592602	-83.511766	Little River Site 1	0	0	1	0-0-100
202	LTGA11	GA11-001	30	34.946254	-83.453083	Keener Creek	0	0	1	0-0-100
203	LTNC10	WRC113-001	20	35.0511015	-83.308477	UT Tessentee Creek	0	0	1	0-0-100
204	LTNC100	WRC091-001	20	35.2377037	-84.0580182	(A) Tipton Creek (incl. trib.)	0	0.0108	0.9892	0-1.1-98.9
205	LTNC101	WRC092-001	20	35.0634056	-83.2739161	Bennies Branch	1.00E-04	0.0898	0.9101	0-9-91
206	LTNC102	WRC093-001	20	35.089675	-83.189961	Big Creek	0.00425	0.23295	0.7628	0.4-23.3-76.3
207	LTNC103	WRC095-001	20	35.1016582	-83.2430469	Brush Creek	0.00025	0.33615	0.6636	0-33.6-66.4
208	LTNC104	WRC096-001	20	35.2257112	-83.2384502	Bryson Branch	0	0	1	0-0-100
209	LTNC105	WRC098-001	20	35.1037626	-83.2902498	Crow Creek	5.00E-05	0.95915	0.0407	0-95.9-4.1
211	LTNC107	WRC380A-001	33	35.2204377	-83.0327662	Flat Creek (above falls)	0.055151515	0.057848485	0.886909091	5.5-5.8-88.7
212	LTNC108	WRC381-001	19	35.2568349	-82.9362342	Pinhook Creek (below falls)	0	0	1	0-0-100
213	LTNC109	D901-001	35	35.289958	-83.293475	Bettys Branch	0	0	1	0-0-100
214	LTNC11	WRC293-001	20	35.1970383	-82.9847656	Bracken Creek	0.0795	0.57635	0.3442	8-57.6-34.4
215	LTNC110	D902-001	20	35.282125	-83.265064	Tatham Creek	0	0	1	0-0-100
216	LTNC111	D903-001	30	35.248756	-83.267727	Shell Branch	0	0	1	0-0-100
217	LTNC112	D906-001	39	35.302122	-83.372431	Huckleberry Creek	0	0	1	0-0-100
218	LTNC113	D907-001	36	35.302543	-83.341682	Beasley Creek	0	0	1	0-0-100
219	LTNC12	WRC295-001	20	35.2826209	-82.9853557	Charley Creek	0.0021	0.00095	0.99695	0.2-0.1-99.7
220	LTNC13	WRC296-001	20	35.2201	-82.95806	Cold Creek	0.0607	0.4907	0.44845	6.1-49.1-44.8
221	LTNC14	WRC302-001	20	35.2028632	-83.1893383	Gem Creek	0	0.00185	0.99815	0-0.2-99.8
222	LTNC15	WRC306-001	20	35.2788805	-83.0250111	Jeff Creek	0	0	1	0-0-100
223	LTNC16	WRC308-001	20	35.2016225	-83.2125065	Little Pine Creek	0.00075	0.47165	0.5276	0.1-47.2-52.8
224	LTNC17	WRC310-001	20	35.2564608	-83.1336517	Mill Creek	0.0012	0.0179	0.98095	0.1-1.8-98.1
225	LTNC18	WRC311-001	20	35.167814	-83.1852347	Mill Creek	0.00095	0.4592	0.5398	0.1-45.9-54
226	LTNC19	WRC318-001	20	35.2766748	-83.0144098	Sols Creek	0.0051	0.24175	0.7531	0.5-24.2-75.3
227	LTNC2	NC02-001	42	35.48692	-83.18631	Soco Creek	0	0	1	0-0-100
229	LTNC21	WRC322-001	20	35.2096888	-83.1164218	Trout Creek	0.27925	0.67635	0.0441	27.9-67.6-4.4
230	LTNC22	WRC119-001	20	35.2551992	-83.5906381	UT Otter Creek	0	0	1	0-0-100
231	LTNC23	WRC022-001	20	35.254525	-83.966819	(C) Sassafras Creek (incl. trib.)	0	0	1	0-0-100
232	LTNC24	WRC120-001	20	35.023508	-83.487356	Yellow Patch Branch	1.00E-04	0.00915	0.99075	0-0.9-99.1
233	LTNC25	WRC023-001	20	35.2455342	-83.8856125	Bear Creek	0	0	1	0-0-100
234	LTNC26	WRC025-001	20	35.3259869	-83.9640204	Wright Creek	0	0	1	0-0-100
235	LTNC27	NC04-001	40	35.5288	-83.1922	Madcap Branch	0	0	1	0-0-100
236	LTNC28	NC05-001	39	35.4902	-83.2151	Jenkin's Creek	5.13E-05	2.56E-05	0.999923077	0-0-100
237	LTNC29	NC06-001	24	35.4995	-83.1746	Rough Branch	0	0.097833333	0.902166667	0-9.8-90.2
238	LTNC3	NC03-001	40	35.52025	-83.22418	Big Witch Creek	0	0.023325	0.976675	0-2.3-97.7
240	LTNC31	WRC376-001	40	35.26218	-84.04492	Tellico River	0	0	1	0-0-100
241	LTNC32	WRC377-001	34	35.25168	-84.0299	Round Mountain Branch	0	0	1	0-0-100
242	LTNC33	WRC378-001	31	35.27757	-83.99892	Snowbird Creek	0	0	1	0-0-100
245	LTNC36	WRC384-001	28	35.384962	-83.079766	Dark Ridge Creek	0	0.003678571	0.996321429	0-0.4-99.6
246	LTNC37	WRC109-001	19	35.39795	-83.993239	Slickrock Creek	0	0.052315789	0.947684211	0-5.2-94.8
247	LTNC38	WRC100-001	20	35.051127	-83.4433848	Henson Creek	0	2.00E-04	0.99975	0-0-100
248	LTNC39	WRC103-001	20	35.3365644	-83.4061966	Little Laurel Creek (trib. of Alarka Cr.)	0	0	1	0-0-100
250	LTNC40	WRC105-001	20	35.0812545	-83.2460064	Long Branch	0.0386	0.35105	0.6103	3.9-35.1-61
251	LTNC41	WRC107-001	20	35.2703011	-84.0475248	Peckerwood Creek	0	2.00E-04	0.9998	0-0-100
252	LTNC42	WRC110-001	20	35.0512067	-83.2553861	Turtle Pond Creek	0.0792	0.0856	0.8351	7.9-8.6-83.5
253	LTNC43	WRC114-001	20	35.032742	-83.436394	UT to Coweeta Creek (near Reynolds Gap)	0	0	1	0-0-100
254	LTNC44	WRC115-001	20	35.2175734	-83.2342281	Wildcat Creek	0	0.0504	0.9496	0-5-95
256	LTNC46	WRC118-001	20	35.249133	-83.669244	Pierce Creek ( also listed as Piercy Creek)	0.00035	0	0.99965	0-0-100
257	LTNC47	WRC267-001	20	35.382	-83.12	(A) South Fork Sugarloaf Creek	0	0	1	0-0-100
258	LTNC48	WRC268-001	5	35.392	-83.133	(A) Sugarloaf Creek (below barrier)	0	0.2	0.8	0-20-80
259	LTNC49	WRC269-001	19	35.388	-83.126	(A) UT Sugarloaf Creek	0	5.26E-05	0.999947368	0-0-100
270	LTNC58	WRC282-001	20	35.3280919	-83.0582684	(D) Chastine Creek (incl. tribs.)	0	0	1	0-0-100
271	LTNC59	WRC283-001	20	35.347	-83.054	(D) Craig Creek	0	0	1	0-0-100
272	LTNC6	WRC101-001	20	35.1570048	-83.2625388	Ledford Branch	0.00035	0.9987	0.00105	0-99.9-0.1
273	LTNC60	WRC284-001	20	35.3360411	-83.05636282	(D) Frady Creek	0	0	1	0-0-100
275	LTNC62	WRC299-001	20	35.4191386	-83.1907797	Fisher Creek	0	0	1	0-0-100
276	LTNC63	WRC304-002	19	35.333816	-83.3062694	Greens Creek	0	0.157894737	0.842105263	0-15.8-84.2
277	LTNC64	WRC305-001	20	35.2200232	-83.1506208	Hunter Jim Creek	0	0	1	0-0-100
279	LTNC66	WRC309-001	20	35.2171902	-83.1048686	Little Trout Creek	0	0	1	0-0-100
280	LTNC67	WRC312-001	20	35.2339737	-83.0196683	Neddie Creek	0	0	1	0-0-100
281	LTNC68	WRC319-001	20	35.2847512	-82.9434836	Tanassee Creek	0	0	1	0-0-100
282	LTNC69	WRC323-001	20	35.3482953	-83.1325927	Wayehutta Creek	0	0	1	0-0-100
283	LTNC7	WRC106-001	20	35.0980559	-83.1887634	Norton Prong	0.00025	0.49015	0.5096	0-49-51
284	LTNC70	WRC366-001	20	35.24075	-83.582694	Big Branch	0	0	1	0-0-100
285	LTNC71	WRC369-001	20	35.3657942	-83.0204091	Mull Creek	0	0	1	0-0-100
286	LTNC72	WRC024-001	20	35.328906	-84.016292	Whigg Branch	0.00885	0.4726	0.5184	0.9-47.3-51.8
290	LTNC76	WRC116-001	20	35.039192	-83.574072	Buck Creek	0.0277	1.00E-04	0.97215	2.8-0-97.2
291	LTNC77	WRC278-001	20	35.35	-83.088	(C) East Fork Moses	0	0	1	0-0-100
292	LTNC78	WRC279-001	20	35.3312291	-83.1007775	(C) Moses Creek	0	0	1	0-0-100
293	LTNC79	WRC280-001	20	35.338	-83.098	(C) Moses Creek	0	0	1	0-0-100
294	LTNC8	WRC111-001	20	35.3374603	-83.3784729	Upper Long Branch	0	0	1	0-0-100
296	LTNC81	WRC285-001	20	35.3300556	-83.0012443	(F) Bearwallow Creek (including tribs.)	0.1136	0.02515	0.86115	11.4-2.5-86.1
297	LTNC82	WRC286-001	20	35.332	-82.999	(F) Birch Ridge Creek	3.00E-04	8.00E-04	0.9989	0-0.1-99.9
298	LTNC83	WRC287-001	20	35.179	-83.076	(G) Cow Mountain Branch	0.01405	0.1362	0.84975	1.4-13.6-85
